"Date","Violations","Statistics","Value"
2000,"Total, all violations [0]","Actual incidents",2570663
2001,"Total, all violations [0]","Actual incidents",2602571
2002,"Total, all violations [0]","Actual incidents",2606967
2003,"Total, all violations [0]","Actual incidents",2699428
2004,"Total, all violations [0]","Actual incidents",2680221
2005,"Total, all violations [0]","Actual incidents",2608741
2006,"Total, all violations [0]","Actual incidents",2606887
2007,"Total, all violations [0]","Actual incidents",2534730
2008,"Total, all violations [0]","Actual incidents",2485043
2009,"Total, all violations [0]","Actual incidents",2448654
2010,"Total, all violations [0]","Actual incidents",2379130
2011,"Total, all violations [0]","Actual incidents",2275917
2012,"Total, all violations [0]","Actual incidents",2244458
2013,"Total, all violations [0]","Actual incidents",2098776
2014,"Total, all violations [0]","Actual incidents",2052925
2015,"Total, all violations [0]","Actual incidents",2118681
2016,"Total, all violations [0]","Actual incidents",2161927
2017,"Total, all violations [0]","Actual incidents",2213293
2018,"Total, all violations [0]","Actual incidents",2280328
2019,"Total, all violations [0]","Actual incidents",2438518
2000,"Total, all violations [0]","Rate per 100,000 population",8376.49
2001,"Total, all violations [0]","Rate per 100,000 population",8390.24
2002,"Total, all violations [0]","Rate per 100,000 population",8314.71
2003,"Total, all violations [0]","Rate per 100,000 population",8531.78
2004,"Total, all violations [0]","Rate per 100,000 population",8391.25
2005,"Total, all violations [0]","Rate per 100,000 population",8090.32
2006,"Total, all violations [0]","Rate per 100,000 population",8003.83
2007,"Total, all violations [0]","Rate per 100,000 population",7707.17
2008,"Total, all violations [0]","Rate per 100,000 population",7474.76
2009,"Total, all violations [0]","Rate per 100,000 population",7281.47
2010,"Total, all violations [0]","Rate per 100,000 population",6996.36
2011,"Total, all violations [0]","Rate per 100,000 population",6627.73
2012,"Total, all violations [0]","Rate per 100,000 population",6465.53
2013,"Total, all violations [0]","Rate per 100,000 population",5982.32
2014,"Total, all violations [0]","Rate per 100,000 population",5793.1
2015,"Total, all violations [0]","Rate per 100,000 population",5934.2
2016,"Total, all violations [0]","Rate per 100,000 population",5987.14
2017,"Total, all violations [0]","Rate per 100,000 population",6056.63
2018,"Total, all violations [0]","Rate per 100,000 population",6153.44
2019,"Total, all violations [0]","Rate per 100,000 population",6487.27
2000,"Total, all violations [0]","Percentage change in rate",-1.15
2001,"Total, all violations [0]","Percentage change in rate",0.16
2002,"Total, all violations [0]","Percentage change in rate",-0.9
2003,"Total, all violations [0]","Percentage change in rate",2.61
2004,"Total, all violations [0]","Percentage change in rate",-1.65
2005,"Total, all violations [0]","Percentage change in rate",-3.59
2006,"Total, all violations [0]","Percentage change in rate",-1.07
2007,"Total, all violations [0]","Percentage change in rate",-3.71
2008,"Total, all violations [0]","Percentage change in rate",-3.02
